user_id,total_orders,total_products,total_reorders,avg_products_per_order,reorder_ratio
1,11,70,51,6.363636363636363,0.7285714285714285
2,15,226,105,15.066666666666666,0.4646017699115044
3,12,88,55,7.333333333333333,0.625
4,5,18,1,3.6,0.05555555555555555
5,5,46,18,9.2,0.391304347826087
6,3,14,2,4.666666666666667,0.14285714285714285
7,21,215,146,10.238095238095237,0.6790697674418604
8,4,67,17,16.75,0.2537313432835821
9,4,98,40,24.5,0.40816326530612246
10,6,147,49,24.5,0.3333333333333333
11,7,94,33,13.428571428571429,0.35106382978723405
12,5,74,13,14.8,0.17567567567567569
13,13,86,56,6.615384615384615,0.6511627906976745
14,14,221,76,15.785714285714286,0.3438914027149321
15,22,72,59,3.272727272727273,0.8194444444444444
16,6,70,24,11.666666666666666,0.34285714285714286
17,41,300,214,7.317073170731708,0.7133333333333334
18,7,50,15,7.142857142857143,0.3
19,9,204,71,22.666666666666668,0.3480392156862745
20,4,22,15,5.5,0.6818181818181818
21,34,211,108,6.205882352941177,0.5118483412322274
22,15,69,35,4.6,0.5072463768115942
23,5,52,10,10.4,0.19230769230769232
24,19,39,21,2.0526315789473686,0.5384615384615384
25,3,21,2,7.0,0.09523809523809523
26,12,56,22,4.666666666666667,0.39285714285714285
27,82,785,562,9.573170731707316,0.7159235668789808
28,24,183,77,7.625,0.4207650273224044
29,19,242,175,12.736842105263158,0.7231404958677686
30,9,12,6,1.3333333333333333,0.5
31,20,299,109,14.95,0.36454849498327757
32,5,114,34,22.8,0.2982456140350877
33,3,53,19,17.666666666666668,0.3584905660377358
34,6,37,9,6.166666666666667,0.24324324324324326
35,9,184,94,20.444444444444443,0.5108695652173914
36,37,153,98,4.135135135135135,0.6405228758169934
37,24,200,89,8.333333333333334,0.445
38,13,214,117,16.46153846153846,0.5467289719626168
39,7,141,73,20.142857142857142,0.5177304964539007
40,9,104,68,11.555555555555555,0.6538461538461539
41,6,80,22,13.333333333333334,0.275
42,17,140,79,8.235294117647058,0.5642857142857143
43,12,180,79,15.0,0.4388888888888889
