order_id,product_id,add_to_cart_order,reordered
988,45061,1,0
988,28464,2,0
988,12626,3,0
988,4818,4,1
2445,40002,1,0
2445,43643,2,1
2445,9598,3,0
2445,22035,4,0
2445,38739,5,0
2445,13409,6,1
2445,33731,7,0
2445,14399,8,1
2445,6297,9,1
2445,34050,10,1
2445,32734,11,1
2445,21616,12,1
2445,42265,13,1
2445,31040,14,1
2445,39182,15,1
2445,2091,16,1
2445,48057,17,1
2445,36506,18,1
2445,43735,19,0
2445,40604,20,1
2445,6905,21,0
2445,10385,22,1
2445,41874,23,0
2445,34126,24,0
2445,28535,25,0
2445,33792,26,0
2445,14976,27,0
2445,13231,28,0
2445,4920,29,0
2445,38693,30,1
2445,13176,31,1
2445,2081,32,0
2445,39990,33,0
2445,9477,34,0
2445,24964,35,1
2445,24184,36,0
3529,17261,1,0
3529,6679,2,1
3733,38889,1,1
3733,32163,2,1
3733,37417,3,1
3733,5194,4,1
3733,13380,5,1
3733,1203,6,1
3733,5077,7,1
3733,19310,8,1
3733,44187,9,1
3733,44361,10,0
3733,12845,11,0
3733,14726,12,1
3733,6193,13,0
3733,47457,14,1
3733,21938,15,0
3733,30950,16,1
3733,41625,17,0
3733,34358,18,0
3733,34321,19,0
3733,29127,20,0
3733,39936,21,0
3733,48969,22,0
13318,24852,1,1
13318,25513,2,1
13318,21903,3,1
13318,31915,4,1
13318,13565,5,1
13318,32864,6,1
13318,47626,7,1
13318,26604,8,1
13318,25890,9,0
14172,33198,1,1
14172,10070,2,1
14172,34866,3,1
14172,42450,4,1
14172,4138,5,1
14172,10,6,1
14172,2780,7,0
14172,38293,8,0
14172,28156,9,1
14172,46993,10,0
14172,35072,11,0
14172,25890,12,0
14287,23909,1,0
14287,37311,2,0
14287,21553,3,0
14287,1826,4,0
14287,17341,5,1
15213,22313,1,0
15213,54,2,0
15213,47357,3,1
15213,29529,4,0
15694,14197,1,1
17906,31487,1,1
20460,16995,1,1
20460,35819,2,1
20460,22959,3,1
20460,47209,4,1
20460,47626,5,1
20460,32828,6,1
20460,37687,7,1
21708,27845,1,1
21708,13176,2,1
21708,19057,3,1
21708,21137,4,1
21708,44910,5,1
21708,32747,6,1
21708,34243,7,1
21708,16616,8,1
21708,23233,9,1
21708,36550,10,1
26968,12341,1,1
26968,15772,2,1
29486,35383,1,1
29486,21108,2,0
29486,8239,3,0
29486,23338,4,1
29486,31404,5,0
29486,23288,6,0
29486,27344,7,0
29486,11777,8,1
29983,39877,1,1
29983,44359,2,0
29983,30391,3,1
29983,31553,4,0
29983,28985,5,1
29983,5115,6,1
29983,18105,7,1
29983,27104,8,1
29983,31717,9,0
29983,12384,10,0
29983,24184,11,1
29983,18234,12,0
34647,34503,1,0
34647,31103,2,0
34647,40256,3,0
34647,15872,4,0
34647,28842,5,1
34647,42014,6,1
34647,8143,7,1
36665,2943,1,1
36665,31371,2,1
36665,6377,3,1
36665,46206,4,1
36665,9869,5,1
36665,44987,6,1
36665,7175,7,1
36665,36639,8,1
36665,25272,9,1
36665,43122,10,0
36665,260,11,0
36665,32177,12,0
36665,8518,13,0
36665,9839,14,0
36665,3464,15,1
36665,12357,16,0
36665,21288,17,0
36665,41787,18,1
39325,7736,1,1
39325,47766,2,1
39325,4658,3,1
39325,7413,4,1
39325,39491,5,1
39325,18175,6,1
